Provider State	Provider Name	Penalty Date	Penalty Type	Fine Amount
GA	DOUGLASVILLE NURSING AND REHABILITATION CENTER	10/05/2016	Payment Denial	
GA	CALHOUN HEALTH CARE CENTER	08/16/2018	Fine	12688
GA	SPARTA HEALTH AND REHABILITATION	03/16/2017	Fine	12688
GA	PRESBYTERIAN VILLAGE	02/02/2018	Fine	12500
GA	PRUITTHEALTH - LILBURN	10/27/2016	Fine	75353
GA	PRUITTHEALTH - LILBURN	10/27/2016	Payment Denial	
GA	A.G. RHODES HOME, INC - COBB	06/18/2018	Fine	9594
GA	CRESTVIEW HEALTH & REHAB CTR	09/28/2016	Fine	14713
GA	SADIE G. MAYS HEALTH & REHABILITATION CENTER	08/19/2016	Fine	53620
GA	SAVANNAH SQUARE HEALTH CENTER	10/12/2017	Fine	12392
GA	PEBBLEBROOK HEALTH CENTER AT PARK SPRINGS	08/26/2017	Fine	6529
GA	GLENWOOD HEALTHCARE	11/18/2016	Fine	428837
HI	KAUAI VETERANS MEMORIAL HOSPITAL	01/27/2017	Fine	20563
HI	KAUAI VETERANS MEMORIAL HOSPITAL	06/29/2018	Fine	10400
HI	KAHUKU MEDICAL CENTER	07/14/2017	Fine	19500
HI	KAHUKU MEDICAL CENTER	07/14/2017	Payment Denial	
HI	KOHALA HOSPITAL	06/06/2018	Fine	68723
HI	KOHALA HOSPITAL	11/30/2018	Fine	91075
HI	HALE HO'OLA HAMAKUA	12/15/2017	Fine	6893
HI	KA PUNAWAI OLA	05/01/2017	Fine	29820
ID	VALLEY VIEW NURSING & REHABILITATION	08/12/2016	Fine	12143
ID	VALLEY VIEW NURSING & REHABILITATION	12/18/2017	Fine	26325
ID	TERRACES OF BOISE, THE	03/23/2018	Fine	6500
IL	NORRIDGE GARDENS	12/29/2017	Fine	6500
IL	APERION CARE TOLUCA	11/04/2016	Payment Denial	
IL	APERION CARE TOLUCA	05/12/2017	Fine	12252
IL	LANDMARK OF RICHTON PARK REHAB & NSG CTR	07/31/2017	Fine	13500
IL	LANDMARK OF RICHTON PARK REHAB & NSG CTR	10/11/2017	Fine	39585
IL	LANDMARK OF RICHTON PARK REHAB & NSG CTR	10/12/2018	Payment Denial	
IL	CHAMPAIGN URBANA NRSG & REHAB	05/24/2018	Fine	104804
IL	CHAMPAIGN URBANA NRSG & REHAB	05/24/2018	Payment Denial	
IL	EDWARDSVILLE NSG & REHAB CTR	09/21/2016	Fine	5558
IL	EDWARDSVILLE NSG & REHAB CTR	03/29/2018	Payment Denial	
IL	CEDAR RIDGE HEALTH REHAB CENTER	01/05/2018	Fine	17537
IL	CHATEAU NRSG & REHAB CENTER	07/27/2017	Fine	13626
IL	CHATEAU NRSG & REHAB CENTER	10/18/2017	Fine	17550
IL	INTEGRITY HC OF WOOD RIVER	08/24/2017	Fine	12500
IL	INTEGRITY HC OF WOOD RIVER	10/03/2018	Fine	35802
IL	WESTCHESTER HEALTH & REHABILITATION	10/27/2016	Fine	15609
IL	WESTCHESTER HEALTH & REHABILITATION	05/19/2017	Fine	29221
IL	APOSTOLIC CHRISTIAN HOME OF EUREKA	11/03/2016	Fine	5885
IL	APOSTOLIC CHRISTIAN HOME OF EUREKA	03/21/2017	Fine	4648
IL	COUNTRY HEALTH	08/09/2016	Fine	30795
IL	COUNTRY HEALTH	02/15/2018	Fine	13626
IL	SUNRISE SKILLED NURSING & REHAB	09/01/2017	Fine	8775
IL	PRAIRIE OASIS	10/25/2017	Fine	9750
IL	GOOD SAMARITAN - PONTIAC	08/23/2016	Fine	22887
IL	APERION CARE MIDLOTHIAN	01/06/2017	Fine	7768
IL	APERION CARE MIDLOTHIAN	07/13/2018	Fine	3900
IL	WINDSOR ESTATES NSG & REHAB	12/01/2017	Payment Denial	
IL	LEWIS MEMORIAL CHRISTIAN VLG	09/18/2018	Fine	7150
IL	SYMPHONY AT THE TILLERS	04/06/2017	Fine	15620
IL	SYMPHONY AT THE TILLERS	10/27/2017	Fine	7150
IL	PRAIRIE CITY REHAB & H C	06/23/2016	Payment Denial	
IL	PRAIRIE CITY REHAB & H C	02/14/2017	Fine	7220
IL	PRAIRIE CITY REHAB & H C	05/04/2017	Fine	13448
IN	SPRINGS VALLEY MEADOWS	07/12/2016	Fine	6854
IN	GREENFIELD HEALTHCARE CENTER	07/01/2016	Fine	10053
IN	GREENFIELD HEALTHCARE CENTER	10/17/2018	Fine	11053
IN	GREENWOOD HEALTHCARE CENTER	04/06/2018	Fine	19032
IN	GREENWOOD HEALTHCARE CENTER	10/11/2017	Fine	6500
IN	SUGAR CREEK REHABILITATION AND CONVALESCENT CENTER	10/18/2017	Fine	8125
IN	EAST LAKE NURSING & REHABILITATION CENTER	11/03/2016	Fine	1991
IN	MAJESTIC CARE OF WEST ALLEN	08/19/2016	Payment Denial	
IN	HERITAGE HOUSE REHABILITATION & HEALTH CARE CENTER	12/28/2016	Fine	1991
IN	PREMIER HEALTHCARE OF NEW HARMONY	11/08/2017	Fine	8510
IN	BROOKVILLE HEALTHCARE CENTER	08/02/2017	Fine	10310
IN	WATERS OF SCOTTSBURG, THE	06/02/2016	Fine	79585
IN	RICHLAND BEAN BLOSSOM HEALTH CARE CENTER	07/12/2017	Fine	13500
IN	LODGE OF THE WABASH	05/09/2017	Fine	8125
IN	CATHERINE KASPER HOME	07/17/2017	Fine	8125
IN	GEORGE ADE MEMORIAL HEALTH CARE CENTER	02/17/2017	Fine	2406
IN	GREENWOOD MEADOWS	02/21/2018	Fine	8125
IN	BELLTOWER HEALTH & REHABILITATION CENTER	06/20/2017	Fine	10000
IN	BELLTOWER HEALTH & REHABILITATION CENTER	11/02/2017	Fine	31200
IN	BELLTOWER HEALTH & REHABILITATION CENTER	11/02/2017	Payment Denial	
IN	BELLTOWER HEALTH & REHABILITATION CENTER	08/01/2018	Fine	12675
IA	GOOD SAMARITAN SOCIETY - NEWELL	01/05/2017	Fine	48663
IA	QHC MITCHELLVILLE, LLC	03/28/2018	Fine	25373
IA	QHC MITCHELLVILLE, LLC	01/24/2017	Fine	22608
IA	STRATFORD SPECIALTY CARE	01/25/2017	Fine	7150
IA	STRATFORD SPECIALTY CARE	07/10/2017	Fine	11000
IA	PARKVIEW CARE CENTER	08/22/2017	Fine	19638
IA	HAPPY SIESTA NURSING HOME	09/22/2016	Fine	33209
IA	HAPPY SIESTA NURSING HOME	06/07/2017	Fine	17961
IA	HAPPY SIESTA NURSING HOME	07/13/2017	Fine	10024
IA	BETHANY LUTHERAN HOME	05/04/2017	Fine	7150
IA	BETHANY LUTHERAN HOME	08/24/2017	Fine	8775
IA	VISTA WOODS CARE CENTER	12/28/2016	Fine	1627
IA	VISTA WOODS CARE CENTER	02/27/2018	Fine	7150
IA	CREEKSIDE	01/16/2019	Fine	8294
KS	WATHENA HEALTHCARE & REHABILITATION CENTER	06/13/2017	Fine	7361
KS	GOOD SAMARITAN SOCIETY - ELLSWORTH VILLAGE	08/30/2018	Fine	7150
KS	GOOD SAMARITAN SOCIETY - ELLSWORTH VILLAGE	12/17/2018	Fine	15971
KS	GOOD SAMARITAN SOCIETY - ELLSWORTH VILLAGE	12/17/2018	Payment Denial	
KS	MEDICALODGES FORT SCOTT	10/04/2016	Fine	24455
KS	MEDICALODGES FORT SCOTT	07/27/2017	Fine	7150
KS	MEDICALODGES FORT SCOTT	01/11/2018	Fine	7150
KS	MEDICALODGES FORT SCOTT	08/23/2018	Fine	15100
KS	GREAT BEND HEALTH & REHAB CENTER	09/09/2016	Payment Denial	
KS	MEDICALODGES DOUGLASS	12/27/2017	Fine	11050
KS	WESTY COMMUNITY CARE HOME	03/10/2017	Fine	119011
KS	WESTY COMMUNITY CARE HOME	03/10/2017	Payment Denial	
KS	WESTY COMMUNITY CARE HOME	03/14/2018	Fine	84283
KS	WESTY COMMUNITY CARE HOME	10/04/2018	Fine	10075
KS	WESTY COMMUNITY CARE HOME	10/04/2018	Payment Denial	
LA	HERITAGE HEALTHCARE  - HAMMOND	07/02/2018	Fine	8128
KS	KANSAS VETERANS HOME	09/27/2016	Fine	26164
KS	KANSAS VETERANS HOME	10/12/2017	Fine	11000
KS	KANSAS VETERANS HOME	06/01/2018	Fine	7150
KS	KANSAS VETERANS HOME	06/01/2018	Payment Denial	
KS	KANSAS VETERANS HOME	08/09/2018	Fine	8125
KS	WALLACE COUNTY COMMUNITY CARE CENTER, INC	11/02/2016	Fine	25409
KS	WALLACE COUNTY COMMUNITY CARE CENTER, INC	11/02/2016	Payment Denial	
KS	WALLACE COUNTY COMMUNITY CARE CENTER, INC	03/28/2018	Fine	7150
KY	BRIDGE POINT CENTER	03/29/2018	Payment Denial	
KY	BARBOURVILLE HEALTH AND REHABILITATION CENTER	08/22/2018	Fine	261551
KY	HOME OF THE INNOCENTS	02/09/2018	Fine	13627
KY	BARBOURVILLE HEALTH AND REHABILITATION CENTER	08/22/2018	Payment Denial	
KY	OAKVIEW NURSING & REHABILITATION CENTER	07/27/2018	Fine	31668
KY	RIVERSIDE CARE & REHABILITATION CENTER	11/02/2018	Fine	12688
KY	SIGNATURE HEALTHCARE AT JACKSON MANOR REHAB & WELL	11/16/2016	Fine	8458
KY	BEAVER DAM NURSING & REHAB CENTER, INC	11/22/2017	Fine	13627
KY	TRI-CITIES NURSING AND REHABILITATION CENTER	03/22/2017	Fine	29160
LA	VILLA FELICIANA CHRONIC DISEASE	08/23/2018	Fine	8128
LA	VILLA FELICIANA CHRONIC DISEASE	08/23/2018	Fine	21202
LA	HAVEN NURSING CENTER	01/10/2018	Fine	12678
KY	EDGEWOOD ESTATES	05/25/2018	Fine	7150
LA	PONTCHARTRAIN HEALTH CARE CENTER	10/04/2016	Fine	1991
LA	PONTCHARTRAIN HEALTH CARE CENTER	01/11/2019	Payment Denial	
LA	MAISON DE'VILLE NURSING HOME	08/20/2018	Fine	13620
LA	HERITAGE MANOR WEST	02/21/2019	Fine	7160
LA	WOODLANDS HEALTHCARE CENTER, LLC (THE)	01/11/2017	Fine	16082
LA	LANDMARK NURSING CENTER HAMMOND	12/21/2018	Fine	63297
LA	LANDMARK NURSING CENTER HAMMOND	03/19/2019	Fine	13556
LA	ALPINE SKILLED NURSING AND REHABILITATION	01/16/2019	Fine	77233
LA	CAMELOT COMMUNITY CARE	11/16/2017	Fine	6633
LA	CAMELOT COMMUNITY CARE	11/16/2017	Payment Denial	
LA	LEGRAND HEALTHCARE AND REHABILITATION CENTER	09/27/2016	Fine	3063
LA	VALLEY VIEW HEALTH CARE	01/25/2019	Fine	7027
LA	OAK HAVEN COMMUNITY CARE CENTER	03/16/2017	Fine	2013
LA	SHADY LAKE NURSING HOME	08/16/2018	Fine	6500
MD	BALLENGER CREEK CENTER	08/02/2016	Fine	624658
MA	SWEET BROOK OF WILLIAMSTOWN REHABILITATION & N CTR	09/11/2017	Fine	288267
MA	FAIRVIEW COMMONS NURSING & REHABILITATION CENTER	01/20/2017	Fine	3746
MA	REHABILITATION & NURSING CENTER AT EVERETT (THE)	09/15/2016	Fine	68983
MA	MEDFORD REHABILITATION AND NURSING CENTER	06/08/2016	Fine	177600
MA	NEVINS NURSING & REHABILITATION CENTER	09/29/2016	Fine	5542
MA	NEVINS NURSING & REHABILITATION CENTER	01/03/2017	Fine	3775
MA	COUNTRYSIDE HEALTH CARE OF MILFORD	02/27/2017	Fine	5072
MA	COUNTRYSIDE HEALTH CARE OF MILFORD	02/20/2018	Fine	55601
MA	OUR ISLAND HOME	11/10/2016	Fine	3291
MA	OUR ISLAND HOME	11/09/2017	Fine	8778
MI	METRON OF BIG RAPIDS	12/20/2017	Fine	10000
MI	METRON OF BIG RAPIDS	05/24/2018	Fine	16000
MI	LAURELS OF HUDSONVILLE (THE)	03/05/2019	Fine	6633
MI	LAURELS OF HUDSONVILLE (THE)	03/29/2019	Fine	11281
MI	WESTLAND CONVALESCENT & REHAB CENTER	06/20/2016	Fine	48743
MI	WESTLAND CONVALESCENT & REHAB CENTER	10/31/2016	Fine	13408
MI	WESTLAND CONVALESCENT & REHAB CENTER	12/14/2016	Fine	98301
MI	WESTLAND CONVALESCENT & REHAB CENTER	12/14/2016	Payment Denial	
MI	WESTLAND CONVALESCENT & REHAB CENTER	08/10/2017	Fine	9750
MI	WESTLAND CONVALESCENT & REHAB CENTER	09/21/2017	Fine	13000
MI	WESTLAND CONVALESCENT & REHAB CENTER	12/01/2017	Fine	41294
MI	WESTLAND CONVALESCENT & REHAB CENTER	02/21/2018	Fine	13163
MI	SKLD WYOMING	01/30/2018	Fine	74763
MI	SKLD WYOMING	01/30/2018	Payment Denial	
MI	SKLD WYOMING	09/07/2016	Fine	25016
MI	THE LIGHTHOUSE AT ROSCOMMON HEALTH AND REHAB	10/18/2017	Fine	11000
MI	REGENCY AT WHITMORE LAKE	06/18/2018	Fine	77550
MI	REGENCY AT WHITMORE LAKE	11/05/2018	Fine	7150
MI	OVID HEALTHCARE CENTER	06/15/2017	Fine	44369
MI	OVID HEALTHCARE CENTER	06/15/2017	Payment Denial	
MI	ARIA NURSING AND REHAB	07/06/2018	Payment Denial	
MI	ARIA NURSING AND REHAB	03/07/2018	Payment Denial	
MI	MEDILODGE OF MONTROSE INC	06/09/2016	Fine	8682
MI	MEDILODGE OF MONTROSE INC	07/12/2017	Fine	8453
MI	MEDILODGE OF MONTROSE INC	08/23/2018	Fine	10533
MI	MEDILODGE OF MONTROSE INC	08/23/2018	Payment Denial	
MI	MEDILODGE OF MONTROSE INC	01/11/2019	Fine	9952
MI	COVENANT VILLAGE OF THE GREAT LAKES	07/20/2016	Payment Denial	
MI	MEADOW WOODS NURSING AND REHAB CENTER	04/05/2017	Fine	6500
MI	STONEGATE HEALTH CAMPUS	08/09/2017	Fine	10156
MI	LAW DEN NURSING HOME	09/15/2016	Fine	16120
MI	LAW DEN NURSING HOME	03/14/2017	Fine	60900
MI	ORCHARD GROVE HEALTH CAMPUS	12/11/2017	Fine	13626
MN	BAYSHORE RESIDENCE & REHAB CTR	10/19/2017	Payment Denial	
MN	THIEF RIVER CARE CENTER	12/15/2017	Fine	10483
MN	THIEF RIVER CARE CENTER	08/31/2018	Fine	48175
MN	GOOD SAMARITAN SOCIETY - SPECIALTY CARE COMMUNITY	03/31/2017	Fine	13500
MN	THE ESTATES AT DELANO LLC	06/02/2017	Fine	57630
MS	WINONA MANOR HEALTH CARE AND REHABILITATION CENTER	08/18/2017	Fine	10793
MS	WOODLAND VILLAGE NURSING CENTER	02/16/2018	Payment Denial	
MS	THE OAKS REHABILITATION AND HEALTHCARE CENTER	09/14/2016	Fine	16167
MS	THE OAKS REHABILITATION AND HEALTHCARE CENTER	06/12/2018	Fine	22874
MS	LEGACY MANOR NURSING AND REHABILITATION	07/02/2016	Fine	14650
MS	GOLDEN AGE NURSING HOME	11/16/2017	Fine	6500
MS	JONES CO REST HOME	10/12/2018	Fine	8258
MO	DELMAR GARDENS WEST	10/27/2016	Fine	58570
MO	DELMAR GARDENS WEST	01/19/2018	Fine	28369
MO	DELMAR GARDENS WEST	12/05/2018	Fine	11700
MO	REPUBLIC NURSING & REHAB	11/21/2018	Fine	11050
MO	MARK TWAIN MANOR	11/03/2016	Payment Denial	
MO	POINT LOOKOUT NURSING & REHAB	02/07/2017	Fine	3316
MO	NORMANDY NURSING CENTER	07/03/2018	Fine	65471
MO	NORMANDY NURSING CENTER	07/03/2018	Payment Denial	
MO	NICK'S HEALTH CARE CENTER, LLC	04/06/2018	Payment Denial	
MO	DELMAR GARDENS OF O'FALLON	03/22/2018	Fine	10176
MO	KATY MANOR	02/10/2017	Fine	8041
MO	KATY MANOR	02/10/2017	Payment Denial	
MO	SCHUYLER COUNTY NURSING HOME	04/04/2017	Fine	12500
MO	NORTERRE	12/13/2018	Payment Denial	
MT	ELKHORN HEALTHCARE & REHABILITATION	09/07/2016	Fine	2600
MT	ELKHORN HEALTHCARE & REHABILITATION	10/24/2017	Payment Denial	
MT	BLACKFEET CARE CENTER	09/28/2016	Fine	33685
MT	AWE KUALAWAACHE CARE CENTER	05/04/2017	Payment Denial	
MT	AWE KUALAWAACHE CARE CENTER	02/28/2018	Payment Denial	
NE	EMERALD NURSING & REHAB LAKEVIEW	04/12/2017	Payment Denial	
NE	BROOKESTONE VIEW	01/15/2019	Payment Denial	
NJ	LAUREL MANOR HEALTHCARE AND REHABILITATION CENTER	01/03/2018	Fine	3250
NJ	MADISON CENTER	12/22/2016	Fine	13627
NJ	MADISON CENTER	03/06/2018	Fine	7150
NJ	MERRY HEART NURSING HOME	02/24/2017	Fine	9628
NJ	MERRY HEART NURSING HOME	07/26/2017	Fine	3900
NJ	ARCADIA NURSING AND REHAB	06/12/2017	Fine	8125
NJ	REHAB AT RIVER'S EDGE	08/13/2018	Fine	20505
NJ	COMPLETE CARE AT LINWOOD, LLC	06/23/2017	Fine	5525
NJ	OCEANA REHABILITATION AND NC	05/12/2017	Fine	10060
NJ	MANAHAWKIN CONV CTR	11/15/2016	Fine	20051
NJ	MANAHAWKIN CONV CTR	06/30/2017	Fine	3900
NJ	MANOR CARE MOUNTAINSIDE	02/23/2017	Fine	5000
NJ	ATRIUM POST ACUTE CARE OF WAYNEVIEW	01/10/2017	Fine	5000
NJ	ATRIUM POST ACUTE CARE OF WAYNEVIEW	03/21/2017	Fine	25486
NJ	ATRIUM POST ACUTE CARE OF WAYNEVIEW	02/16/2018	Fine	12382
NJ	MAJESTIC REHAB AND NURSING CENTER AT RED BANK	01/24/2017	Fine	4550
NJ	BARTLEY HEALTHCARE NURSING & REHABILITATION	11/17/2017	Fine	11605
NJ	ARBORS CARE CENTER	05/02/2017	Fine	11050
NJ	HAMILTON PLACE AT THE PINES AT WHITING	11/22/2017	Fine	6000
NJ	JOB HAINES HOME FOR AGED PEOPL	10/12/2018	Fine	6893
NJ	CARE ONE AT EVESHAM	03/09/2018	Fine	7150
NJ	WEDGWOOD GARDENS CARE CENTER	08/01/2017	Fine	8128
NJ	WEDGWOOD GARDENS CARE CENTER	05/16/2018	Fine	13094
NM	LA VIDA LLENA	06/27/2016	Fine	6793
NM	LA VIDA LLENA	06/27/2016	Payment Denial	
NM	GOOD SAMARITAN SOCIETY BETTY DARE	02/20/2018	Fine	7800
NM	BELEN MEADOWS HEALTHCARE AND REHABILITATION CENTER	05/22/2018	Fine	13000
NM	GOOD SAMARITAN SOCIETY - SOCORRO	07/22/2016	Fine	6500
NM	GOOD SAMARITAN SOCIETY - SOCORRO	12/06/2018	Fine	20800
NM	GOOD SAMARITAN SOCIETY - SOCORRO	12/06/2018	Payment Denial	
NM	ALBUQUERQUE HEIGHTS HEALTHCARE AND REHABILITATION	06/29/2018	Fine	23660
NM	NEW MEXICO STATE VETERANS HOME	10/19/2016	Fine	55330
NM	NEW MEXICO STATE VETERANS HOME	03/15/2018	Fine	85400
NM	NEW MEXICO STATE VETERANS HOME	03/15/2018	Payment Denial	
NM	SILVER CITY CARE CENTER	03/15/2018	Fine	22945
NM	CASA DEL SOL CENTER	12/07/2016	Payment Denial	
NM	CASA DEL SOL CENTER	01/27/2017	Fine	3982
NM	CASA DEL SOL CENTER	01/17/2018	Fine	7150
NM	FORT BAYARD MEDICAL CENTER	06/20/2017	Fine	20965
NM	FORT BAYARD MEDICAL CENTER	06/20/2017	Payment Denial	
NM	THE SUITES RIO VISTA	02/01/2018	Payment Denial	
NM	SUNSET VILLA CARE CENTER	01/04/2018	Fine	18214
NY	NORTHWOODS REHAB AND NURSING CENTER AT MORAVIA	10/06/2017	Fine	11053
NY	FINGER LAKES HEALTH	11/15/2018	Fine	6893
NY	FOREST HILLS CARE CENTER	12/29/2017	Fine	6893
NY	MEADOW PARK REHABILITATION AND HEALTH CENTER L L C	10/19/2016	Fine	45367
NY	BROOKSIDE MULTICARE NURSING CENTER	01/24/2018	Fine	6893
NY	AURELIA OSBORN FOX MEMORIAL HOSPITAL	05/04/2018	Fine	12025
NY	THE VILLAGES OF ORLEANS HEALTH AND REHAB CENTER	02/21/2018	Fine	6893
NY	SAN SIMEON BY THE SOUND CENTER FOR NURSING & REHAB	08/19/2016	Fine	9557
NY	NEW GLEN OAKS NURSING HOME, INC	06/30/2016	Fine	15405
NY	NEW GLEN OAKS NURSING HOME, INC	06/30/2016	Payment Denial	
NY	FORT HUDSON NURSING CENTER INC	05/08/2018	Fine	7023
NY	HOLLIS PARK MANOR NURSING HOME	05/16/2017	Fine	18427
NY	OZANAM HALL OF QUEENS NURSING HOME INC	01/23/2018	Fine	7543
NY	ESSEX CENTER FOR REHABILITATION AND HEALTHCARE	06/14/2018	Fine	13393
NY	WOODHAVEN NURSING HOME	08/29/2018	Fine	2896
NY	CATSKILL REGIONAL MEDICAL CENTER	02/21/2019	Fine	8964
NY	CREEKVIEW NURSING AND REHAB CENTER	01/05/2018	Fine	6893
NY	SAMARITAN SENIOR VILLAGE, INC	09/23/2016	Fine	12999
NY	SAMARITAN SENIOR VILLAGE, INC	09/23/2016	Fine	2576
NC	MOUNTAIN RIDGE HEALTH AND REHAB	06/03/2016	Fine	10000
NC	ACCORDIUS HEALTH AT LEXINGTON	11/16/2017	Fine	8778
NC	CHATHAM NURSING & REHABILITATION	09/29/2017	Fine	2399
NC	TRINITY PLACE	07/20/2016	Fine	15990
NC	TRINITY PLACE	07/13/2017	Fine	10793
NC	TRINITY PLACE	08/23/2018	Fine	12028
NC	ACCORDIUS HEALTH AT CLEMMONS	10/05/2018	Fine	102411
NC	PELICAN HEALTH AT CHARLOTTE	03/12/2018	Fine	17705
NC	WARREN HILLS NURSING CENTER	06/10/2017	Fine	9592
NC	RICHMOND PINES HEALTHCARE AND REHABILITATION CENTE	06/09/2017	Fine	13627
NC	RICHMOND PINES HEALTHCARE AND REHABILITATION CENTE	06/09/2017	Fine	5948
